Ethereum,1136,56813000000.000
Tron,34,8074000000.000
Solana,151,5095000000.000
BSC,779,4718000000.000
Arbitrum,672,3093000000.000
Base,323,1679000000.000
Blast,135,1138000000.000
Avalanche,394,907910000.00
Polygon,564,892630000.00
TON,19,760220000.00
Scroll,87,742350000.00
Optimism,251,691050000.00
Bitcoin,24,685420000.00
Linea,103,665940000.00
Hyperliquid,2,639740000.00
Mantle,93,569550000.00
zkLink Nova,18,510350000.00
Mode,54,472500000.0
Cronos,114,434980000.00
Sui,37,433620000.00
Aptos,44,400230000.00
Bitlayer,16,392050000.00
PulseChain,44,319720000.00
Thorchain,3,316460000.00
Starknet,27,278490000.00
Gnosis,66,271070000.00
Near,24,243200000.0
Cardano,38,222020000.00
Merlin,19,203430000.00
Rootstock,19,174220000.00
CORE,42,169840000.00
Kava,140,157230000.00
dYdX,2,156150000.00
Ronin,4,151910000.00
Fantom,330,124290000.00
Mixin,10,124250000.00
EOS,21,121360000.00
BSquared,10,104690000.00
MultiversX,22,103650000.00
Osmosis,17,103290000.00
Fusion,3,102900000.0
zkSync Era,117,93620000.00
Celo,53,91990000.00
Stacks,12,89050000.00
Sei,22,81450000.00
Algorand,33,71340000.00
ICP,10,69670000.00
BounceBit,6,65240000.00
Filecoin,21,61250000.00
Hedera,9,58280000.00
K2,2,56700000.0
Metis,59,54280000.00
Tezos,20,52850000.00
Hydration,1,49910000.00
Manta,59,48860000.00
BOB,10,46670000.00
DefiChain,3,38960000.00
Injective,21,38510000.00
Moonbeam,61,37170000.00
Fraxtal,11,36040000.00
Klaytn,54,34990000.00
Radix,9,30970000.00
Kujira,15,30680000.00
Telos,39,30270000.00
NEO,6,28540000.00
opBNB,38,28110000.00
Astar,42,25390000.00
Mayachain,1,23310000.00
Flow,6,23040000.00
Bifrost Network,4,22650000.00
Canto,25,21660000.00
MAP Protocol,9,20370000.00
IoTeX,24,19350000.00
Aurora,60,18240000.00
Zkfair,12,18150000.00
Neutron,6,16570000.00
Bitcoincash,3,16430000.00
Immutable zkEVM,3,15780000.00
Taiko,19,15320000.00
Polygon zkEVM,68,14400000.0
Conflux,16,14060000.00
Secret,9,13920000.00
WEMIX3.0,12,11910000.00
Waves,9,11690000.00
Icon,6,11120000.00
Stellar,7,11080000.00
Venom,3,11080000.00
FSC,1,10710000.00
Chiliz,5,10100000.0
X Layer,24,9960000.00
Bifrost,3,9180000.00
EOS EVM,8,9080000.00
Alephium,3,9050000.00
XDC,11,8640000.00
Flare,12,8400000.0
Ontology,3,8110000.00
Proton,3,7950000.00
Oraichain,3,7370000.00
Onus,5,7120000.00
Parallel,5,6500000.0
Carbon,4,6130000.00
Moonriver,57,5740000.00
smartBCH,23,5490000.00
DFS Network,1,5100000.0
UX,3,5050000.00
Vite,4,4950000.00
Astar zkEVM,11,4810000.00
Ultron,3,4510000.00
GodwokenV1,7,4250000.00
re.al,7,3940000.00
Doge,4,3890000.00
Interlay,5,3850000.00
Vision,2,3830000.00
Terra2,14,3820000.00
Ergo,9,3800000.0
Wanchain,9,3780000.00
Nuls,4,3630000.00
Litecoin,4,3620000.00
Boba,27,3610000.00
DFK,2,3580000.00
Meter,13,3500000.0
Persistence,3,3450000.00
Beam,2,3420000.00
Elastos,3,3330000.00
Archway,5,3300000.0
Acala,8,3100000.0
Horizen EON,7,3050000.00
Dogechain,45,3010000.00
Oasis Sapphire,3,2920000.00
Kroma,6,2820000.00
FunctionX,3,2760000.00
Everscale,2,2720000.00
aelf,1,2490000.00
Terra Classic,30,2310000.00
Harmony,60,2260000.00
OKTChain,37,2130000.00
DeFiVerse,2,2020000.00
Bahamut,4,2020000.00
Theta,5,2010000.00
ShimmerEVM,7,1820000.00
Hydra,3,1780000.00
XPLA,2,1690000.00
Fuse,24,1680000.00
KCC,28,1650000.00
ZetaChain,19,1640000.00
Songbird,6,1640000.00
Zilliqa,7,1620000.00
Arbitrum Nova,10,1540000.00
Shibarium,14,1380000.00
Nolus,1,1340000.00
Equilibrium,1,1280000.00
Oasys,3,1240000.00
IOTA EVM,3,1200000.0
Velas,15,1140000.00
SXnetwork,1,1140000.00
Neon,11,1090000.00
Naka,1,1020000.00
HAQQ,3,999146
Xai,3,930587
Oasis Emerald,19,918207
Milkomeda C1,21,901240
Obyte,7,893158
Evmos,23,888550
RENEC,1,884483
CosmosHub,4,863433
Elysium,1,791480
Sanko,3,778231
BEVM,7,758714
Wax,3,746173
ThunderCore,10,742444
SatoshiVM,1,733913
Energi,1,711605
LightLink,3,704967
Zora,4,704725
Concordium,1,651699
Saakuru,1,629064
Bostrom,1,624555
Starcoin,3,611535
Q Protocol,4,598771
SKALE Europa,6,596421
VeChain,2,551824
NOS,1,550389
Rangers,2,514653
Degen,9,467399
Kadena,5,461123
Rollux,2,460938
Juno,10,416397
EthereumClassic,10,415598
inEVM,7,410284
XRPL,4,409348
Boba_Bnb,2,408337
CSC,5,407184
Migaloo,3,369364
Crab,1,358290
Bittorrent,15,354276
Heiko,5,339846
Kintsugi,1,334685
Chihuahua,3,332662
DeFiChain EVM,3,331615
Sora,2,310638
ENULS,3,289653
Dash,1,280457
Karura,5,274353
Joltify,2,257929
EnergyWeb,1,252239
Aura Network,1,246238
Bitrock,3,238069
Heco,50,223153
Ancient8,2,219166
Manta Atlantic,1,214722
Step,2,210947
Nahmii,1,207476
Libre,1,200646
Etherlink,2,189394
Genesys,1,187450
Viction,6,177433
Tombchain,1,163434
Stargaze,3,145111
Polkadex,1,144879
Massa,1,137571
MEER,1,134551
Godwoken,3,124946
Mint,1,121297
AILayer,1,113981
Comdex,6,111594
Loop,2,109463
Kardia,7,96047
Planq,2,94823
EthereumPoW,18,93020
MVC,1,86204
Grove,1,82050
Endurance,3,78292
Areon Network,1,76838
Shiden,7,76303
Newton,1,74212
Polkadot,3,58209
Findora,5,54797
RSS3,1,53186
Crescent,2,51755
ALV,2,48567
Goerli,1,40825
Lukso,2,33661
Cyber,2,29895
Syscoin,4,24381
JBC,3,23078
REI,6,19505
Darwinia,1,18401
Cube,3,17891
Lachain,3,16567
ETHF,1,15324
MultiVAC,3,14494
HPB,1,13806
GoChain,1,12430
Reya Network,2,12148
Sifchain,1,10402
Bitgert,12,6734
Tenet,2,5631
OntologyEVM,4,4893
Callisto,1,4582
REIchain,1,4315
Bitnet,1,4139
Ham,1,3757
Aeternity,1,1942
Milkomeda A1,3,1144
Rari,2,977.85
Lung,1,701.49
Pego,2,550.46
Palm,2,539.51
AirDAO,2,149.12
DSC,1,1.5
Bitkub Chain,1,0.85
Kusama,1,0
Celestia,2,0
Dymension,1,0
Quicksilver,1,0
Nibiru,1,0
Pokt,1,0
Sommelier,1,0
Stride,1,0
Dexit,3,0
Omax,2,0
Boba_Avax,1,0
Stafi,1,0
OXFUN,1,0
Empire,1,0
Hoo,4,0
Echelon,5,0
CLV,6,0
zkSync Lite,3,0
CMP,1,0
Nova Network,2,0
Genshiro,1,0
Lamden,1,0
Polis,1,0
ZYX,1,0
Ubiq,1,0
Coti,1,0
Kekchain,3,0
MUUCHAIN,1,0
Tlchain,1,0
Zeniq,1,0
Bitindi,2,0
Bone,1,0
LaChain Network,1,0
